Name;Overview;isHidden
Agatha Christie;Agatha Christie was an English writer known for her detective novels featuring iconic characters like Hercule Poirot and Miss Marple. She is one of the best-selling authors of all time, with works such as Murder on the Orient Express and The Murder of Roger Ackroyd becoming classics of the genre.;false
Ali Hazelwood;Ali Hazelwood is a contemporary romance author known for her debut novel The Love Hypothesis, which gained popularity for its witty dialogue, engaging characters, and incorporation of STEM themes into the romance genre.;false
Arthur Conan Doyle;Sir Arthur Conan Doyle was a Scottish writer and physician, best known for creating the legendary detective Sherlock Holmes. His works, including A Study in Scarlet and The Hound of the Baskervilles, have had a profound influence on mystery literature and popular culture.;false
Charles Dickens;Charles Dickens was an English novelist of the Victorian era, renowned for his vivid characters and portrayal of social injustices. His notable works include A Tale of Two Cities, Great Expectations, and Oliver Twist, which continue to be studied and adapted for various media.;false
Disney Books;Disney Books encompasses a wide range of literature inspired by Disney films, characters, and franchises. These books cater to audiences of all ages and include adaptations, original stories, and educational materials based on Disney's extensive catalog of animated and live-action productions.;false
Eiichiro Oda;Eiichiro Oda is a Japanese manga artist best known for creating the long-running and highly successful manga series One Piece. His imaginative world-building, dynamic characters, and epic storytelling have made One Piece one of the most popular manga series worldwide.;false
F. Scott Fitzgerald;F. Scott Fitzgerald was an American novelist and short story writer associated with the Jazz Age and the Lost Generation. His masterpiece, The Great Gatsby, is considered a classic of American literature, exploring themes of wealth, love, and the American Dream.;false
George R. R. Martin;George R. R. Martin is an American novelist and screenwriter, best known for his epic fantasy series A Song of Ice and Fire, which was adapted into the acclaimed television series Game of Thrones. His intricate plots, morally ambiguous characters, and richly detailed world-building have captivated readers worldwide.;false
Harper Lee;Harper Lee was an American novelist best known for her Pulitzer Prize-winning novel To Kill a Mockingbird. This seminal work explores themes of racial injustice and moral growth in the American South and remains a classic of modern American literature.;false
Houghton Mifflin Harcourt;Houghton Mifflin Harcourt is a global publishing company known for producing educational materials, textbooks, fiction, and non-fiction books for readers of all ages. It is one of the largest providers of educational resources in the United States.;false
Isaac Asimov;Isaac Asimov was an American writer and professor of biochemistry, best known for his science fiction works such as the Foundation series and the Robot series. Asimov's influence extends beyond literature, as he made significant contributions to science communication and popularized scientific concepts.;false
J. D. Salinger;J. D. Salinger was an American novelist best known for his novel The Catcher in the Rye, which remains a classic of adolescent literature. Salinger's works often explore themes of alienation, identity, and the search for authenticity.;false
J. K. Rowling;J. K. Rowling is a British author best known for creating the Harry Potter series, which has become one of the best-selling book series in history. Rowling's magical world-building and engaging storytelling have captivated readers of all ages.;false
J. R. R. Tolkien;J. R. R. Tolkien was an English writer, philologist, and professor, best known for his high fantasy works The Hobbit and The Lord of the Rings. His richly detailed mythologies, languages, and epic narratives have had a profound influence on the fantasy genre.;false
J. Sterling;J. Sterling is an author known for contemporary romance novels such as The Perfect Game series and 10 Years Later. Her works often explore themes of love, friendship, and personal growth.;false
Jane Austen;Jane Austen was an English novelist known for her romantic fiction set among the British landed gentry. Her novels, including Pride and Prejudice, Sense and Sensibility, and Emma, are celebrated for their wit, social commentary, and exploration of relationships.;false
John Steinbeck;John Steinbeck was an American author and Nobel Prize laureate known for his works depicting the struggles of the working class and marginalized groups during the Great Depression. His notable works include The Grapes of Wrath, Of Mice and Men, and East of Eden.;false
Kanehito Yamada;Kanehito Yamada is a Japanese author known for Frieren: Beyond Journey's End, a manga series that has gained significant popularity and recognition. The series, which began serialization in Weekly Shōnen Sunday in April 2020, has been adapted into an anime television series and has won several awards, including the Manga Taishō and the Shogakukan Manga Award. Yamada's work is celebrated for its engaging storytelling and unique characters, contributing to the series' success and its place among the best-selling manga series of all time;false
Kiyohiko Azuma;Kiyohiko Azuma, born on May 27, 1968, is a renowned Japanese manga artist and author. He gained fame for his yonkoma comedy manga series Azumanga Daioh, which was later adapted into an anime. Azuma also created Yotsuba&!, a slice-of-life manga series about a five-year-old girl, serialized in Dengeki Daioh. His distinctive art style has made a significant impact in the manga industry;false
Mark Twain;Mark Twain was an American writer, humorist, and lecturer, best known for his novels The Adventures of Tom Sawyer and Adventures of Huckleberry Finn. Twain's works often satirize societal norms and explore themes of freedom, morality, and the American experience.;false
Misaki Takamatsu;Misaki Takamatsu is a Japanese manga artist known for creating the manga series Skip and Loafer, which has been well-received by readers, with several editions published. Her works include Ameko Hime, Canaria-tachi no Fune, Okaeri Aureole, and Skip to Loafer, showcasing her versatility in storytelling and artistry ;false
Natsu Hyuuga;Natsu Hyūga is a Japanese novelist and light novel author, known for her work on The Apothecary Diaries. She resides in Fukuoka Prefecture. Hyūga has contributed to various works, including web novels, light novels, and manga, showcasing her versatility in the literary world. Her works often explore themes of mystery, romance, and historical settings, with The Apothecary Diaries being a notable example of her storytelling abilities;false
Ocean Vuong;Ocean Vuong is a Vietnamese-American poet and novelist known for his critically acclaimed debut novel On Earth We're Briefly Gorgeous. Vuong's work explores themes of identity, family, and the immigrant experience through lyrical prose.;false
